phone,headline,sprechzeiten,address,url,terminvereinbarung,email,opnv
+49 (0) 80 31 / 365-11 05,"Wirtschaftsförderungsagentur, Publikationen","Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/unternehmerservice/immobilien,,geschaeftszimmer.wirtschaftsfoerderung@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-14 61,"Sozial-, Wohnungs- und Versicherungsamt","Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Reichenbachstraße 8 83022 Rosenheim,https://www.rosenheim.de/politik-verwaltung/amtsblatt,,sozialamt@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-10 11,Hauptamt,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/politik-verwaltung/buergerversammlungen,,hauptamt@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-10 27,Geschäftsstelle der Arbeitsgemeinschaft Stadt- und Umlandbereich Rosenheim,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/politik-verwaltung/interkommunale-zusammenarbeit,,sur@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-10 00,Andreas März Oberbürgermeister,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/oberbuergermeister,,oberbuergermeister@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-10 01,Pressestelle,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/presse,,pressestelle@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-10 27,Hauptamt Kommunalrecht,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/politik-verwaltung/stadtwappen,,hauptamt@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-12 52,Liegenschaftsamt - Stiftungsverwaltung,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/politik-verwaltung/stiftungen/stiftungen,,stiftungsverwaltung@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-14 11,Schul- und Sportamt,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Reichenbachstraße 8 83022 Rosenheim,https://www.rosenheim.de/buergerservice/schule-studium/schuelerbefoerderung,,Schul-sportamt@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
,"Amt für frühkindliche Bildung, Erziehung und Betreuung - Anmeldung Kindergärten und Kinderkrippen","Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",,https://www.rosenheim.de/buergerservice/kinder-jugendliche/kinderbetreuung/anmeldung,,geschaeftszimmer.kita@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-16 71,Bauordnungsamt,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/buergerservice/planen-bauen/abgeschlossenheitsbescheinigung,,bauordnungsamt@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365- 12 02,Kämmerei,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/buergerservice/planen-bauen/beitragswesen,,kaemmerei@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-16 41,Stadtplanungsamt,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/buergerservice/planen-bauen/geoinformation-und-vermessung,,stadtplanung@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-16 21,Gutachterausschuss,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Kufsteiner Straße 7 83022 Rosenheim,https://www.rosenheim.de/buergerservice/planen-bauen/gutachterausschuss-aufgaben-befugnisse,,gutachterausschuss@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-16 19,Bauverwaltungsamt,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/buergerservice/planen-bauen/heckenrueckschnitte,,bauverwaltung@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-16 11,Bauverwaltungsamt; Landwirtschaftlicher Grundstücksverkehr,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/buergerservice/planen-bauen/landwirtschaftlicher-grundstuecksverkehr,,bauverwaltung@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-84 80,Stadtplanungsamt - Mietspiegel,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 09:00 – 13:00 Uhr",Königstraße 13 83022 Rosenheim,https://www.rosenheim.de/buergerservice/planen-bauen/mietspiegel,,mietspiegel@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-12 48,Zentrales Gebäudemanagement,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/buergerservice/planen-bauen/staedtische-hochbauprojekte,,zgm@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-17 41,Tiefbauamt,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/buergerservice/planen-bauen/staedtische-tiefbauprojekte,,tiefbauamt@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-16 19,Bauverwaltungsamt - Sondernutzungen,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/unternehmerservice/gewerbe-gaststaetten/sondernutzungen,,sondernutzungen@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-16 11,Geschäftsstelle des Umlegungsausschusses,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/buergerservice/planen-bauen/umlegungsausschuss,,umlegungsausschuss@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-16 11,Bauverwaltungsamt; Vorkaufsrecht der Gemeinde,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/buergerservice/planen-bauen/vorkaufsrecht-der-gemeinde-beantragung-eines-negativzeugnisses,,bauverwaltung@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-16 15,Bauverwaltungsamt - Wohnraumförderung,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/buergerservice/planen-bauen/wohnraum,,wohnraumfoerderung@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-89 40,Ausländerbehörde Bereich Aufenthalt,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 15 83022 Rosenheim,https://www.rosenheim.de/buergerservice/migration-einreise/aufenthaltserlaubnis,,aufenthalt@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-89 40,Ausländerbehörde Bereich Staatsangehörigkeit,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 15 83022 Rosenheim,https://www.rosenheim.de/buergerservice/migration-einreise/einbuergerung,,staatsangehoerigkeit@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0)8031/365-89 40,Ausländerbehörde Bereich eAT/Asyl,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 15 83022 Rosenheim,https://www.rosenheim.de/buergerservice/migration-einreise/verpflichtungserklaerung,,eat.asyl@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-17 76,"Baubetriebshof, Müllabfuhr","Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 07:00 – 12:00 und 12:30 – 16:00 Uhr, Freitag 07:00 – 12:00 Uhr",,https://www.rosenheim.de/buergerservice/ver-und-entsorgung/muellabfuhr,,baubetriebshof@rosenheim.de,Westerndorfer Straße
+49 (0) 80 31 / 365-17 70,Baubetriebshof,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 07:00 – 12:00 und 12:30 – 16:00 Uhr, Freitag 07:00 – 12:00 Uhr",,https://www.rosenheim.de/buergerservice/sicherheit-gefahrenabwehr/winterdienst,,baubetriebshof@rosenheim.de,Westerndorfer Straße
+49 (0) 80 31 / 365-80 05,Brand- und Katastrophenschutz,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Küpferlingstraße 7 83022 Rosenheim,https://www.rosenheim.de/buergerservice/sicherheit-gefahrenabwehr/freiwillige-feuerwehren,,geschaeftszimmer.feuerwehr@rosenheim.de,Küpferlingstraße / BRK Seniorenheim
+49 (0) 80 31 / 365-80 05,Katastrophenschutz,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Küpferlingstraße 7 83022 Rosenheim,https://www.rosenheim.de/buergerservice/sicherheit-gefahrenabwehr/zivilschutz,,katastrophenschutz@rosenheim.de,Küpferlingstraße / BRK Seniorenheim
+49 (0) 80 31 / 90 09 00,Brand- und Katastrophenschutz ILS,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Küpferlingstraße 7 83022 Rosenheim,https://www.rosenheim.de/buergerservice/sicherheit-gefahrenabwehr/ils,,ils-verwaltung@rosenheim.de,Küpferlingstraße / BRK Seniorenheim
+49 (0) 80 31 / 365-14 13,"Amt für frühkindliche Bildung, Erziehung und Betreuung","Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",,https://www.rosenheim.de/buergerservice/kinder-jugendliche/kinderbetreuung/tagespflege,,Geschaeftszimmer.kita@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-10 12,Hauptamt Geschäftsstelle Städtepartnerschaft Rosenheim-Lazise,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/politik-verwaltung/staedtepartnerschaften/staedtepartnerschaft-mit-lazise,,hauptamt@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-10 46,Gleichstellungsstelle,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Dienstag 08:00 – 13:00 Uhr, Mittwoch und Donnerstag 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/buergerservice/gleichstellung/die-gleichstellungsbeauftragte,,gleichstellung@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-14 95,"Amt für Kinder, Jugendliche und Familien","Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Reichenbachstraße 8 83022 Rosenheim,https://www.rosenheim.de/buergerservice/kinder-jugendliche/adoption,,jugendamt@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-13 22,"Ordnungsamt, Tiere & Jagd","Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 15 83022 Rosenheim,https://www.rosenheim.de/buergerservice/tiere-jagd/fischereiwesen,,ordnungsamt@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-13 22,Ordnungsamt – Gewerbe und Gaststättenwesen - Fußgängerzone,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 15 83022 Rosenheim,https://www.rosenheim.de/unternehmerservice/gewerbe-gaststaetten/fussgaengerzone,,ordnungsamt@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-13 53,Ordnungsamt,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 15 83022 Rosenheim,https://www.rosenheim.de/buergerservice/berufsausbildung/heilpraktiker-in,,ordnungsamt@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-13 22,"Ordnungsamt, Kampfhundehaltung","Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 15 83022 Rosenheim,https://www.rosenheim.de/buergerservice/tiere-jagd/kampfhunde/gefaehrliche-tiere,,ordnungsamt@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-1351,"Ordnungsamt, Prostitution","Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",,https://www.rosenheim.de/unternehmerservice/selbststaendigkeit/prostitution,,ordnungsamt@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-13 20,"Ordnungsamt, Waffenwesen","Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 15 83022 Rosenheim,https://www.rosenheim.de/buergerservice/sicherheit-gefahrenabwehr/waffenrecht,,ordnungsamt@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-13 20,"Ordnungsamt, Sprengstoffwesen","Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 15 83022 Rosenheim,https://www.rosenheim.de/buergerservice/sicherheit-gefahrenabwehr/sprengstoffrecht,,ordnungsamt@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-18 62,"Ordnungsamt, Bodenschutz","Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 15 83022 Rosenheim,https://www.rosenheim.de/buergerservice/umwelt/bodenschutz,,ordnungsamt@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 408-94 0,Jobcenter Rosenheim Stadt,,Mühlbachbogen 3 83022 Rosenheim,https://www.rosenheim.de/buergerservice/sozialleistungen/arbeitslosengeld-buergergeld,,Jobcenter-Rosenheim@jobcenter-ge.de,Klinikum
+49 (0) 80 31 / 365-14 61,"Sozial-, Wohnungs- und Versicherungsamt - Bafög","Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Reichenbachstraße 8 83022 Rosenheim,https://www.rosenheim.de/buergerservice/sozialleistungen/bafoeg,,bafoeg@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-17 41,Stadtentwässerung,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 24 83022 Rosenheim,https://www.rosenheim.de/buergerservice/ver-und-entsorgung/abwasser-wissenswertes,,stadtentwaesserung@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
+49 (0) 80 31 / 365-16 81,Umwelt- und Grünflächenamt,"Persönliche Vorsprachen sind nur nach vorheriger Terminvereinbarung möglich. Erreichbarkeit telefonisch oder per E-Mail: Montag – Donnerstag, 08:00 – 12:30 und 13:30 – 17:00 Uhr, Freitag 08:00 – 13:00 Uhr",Königstraße 15 83022 Rosenheim,https://www.rosenheim.de/buergerservice/tiere-jagd/artenschutz/allgemeiner-artenschutz,,umweltamt@rosenheim.de,Heilig-Geist-Straße/Stadtmitte
